Demo,Link,Last View,Total Time,Steps Completed,Percent Complete,Opened CTA,Country
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 13:25,00:02,4,0.08,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 13:25,00:10,6,0.12,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 13:25,00:33,11,0.22,-,United Arab Emirates
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 13:22,00:04,2,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 13:24,03:32,39,1,-,United Arab Emirates
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 13:25,04:46,37,0.95,-,United Kingdom
Returning a request and returning a specific submission within a request to the centre LWA Examination/Moderation,KB,5/7/25 13:21,02:53,17,0.71,-,United Kingdom
Uploading Administration Material LWA Examination/Moderation,KB,5/7/25 13:18,00:59,16,1,https://support.pearson.com/uk/s/article/Learner-Work-Assessment-LWA,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 13:15,03:15,15,1,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 13:03,06:11,2,0.06,-,United Kingdom
Functional Skills: How to access on-demand test results on Edexcel Online,KB,5/7/25 12:52,00:07,2,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 12:44,00:09,2,0.06,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 12:41,00:02,2,0.14,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 12:35,00:07,2,0.14,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 12:29,00:21,5,0.34,-,United Kingdom
Functional Skills: How to book a test on Edexcel Online,KB,5/7/25 12:09,00:14,4,0.19,-,United Kingdom
Managing Requests LWT Moderation,KB,5/7/25 12:15,17:46,80,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,China
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 11:57,01:03,17,0.44,-,Ireland
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 12:03,10:12,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Functional Skills: How to book a test on Edexcel Online,KB,5/7/25 11:57,15:03,19,0.87,-,United Kingdom
How to top up BTEC registrations on Edexcel Online,KB,5/7/25 11:34,00:19,9,0.57,-,United Kingdom
Managing Requests LWT Moderation,KB,5/7/25 11:39,05:44,76,0.95,-,United Kingdom
Transferring learner registrations on Edexcel Online,KB,5/7/25 11:33,01:04,16,1,https://support.pearson.com/uk/s/,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 11:29,12:45,39,1,-,United Kingdom
Downloading BTEC basedata on Edexcel Online,KB,5/7/25 11:40,26:12,12,1,-,United Kingdom
Live Chat Demonstration,Default,5/7/25 11:07,00:24,7,1,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 11:06,00:17,5,0.34,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 11:00,00:04,2,0.14,-,United Kingdom
Managing Requests LWT Moderation,KB,5/7/25 11:00,01:23,10,0.13,-,Greece
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 10:46,00:04,2,0.14,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 10:45,00:02,2,0.14,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 10:39,01:19,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Functional Skills: How to make individual registrations on Edexcel Online,KB,5/7/25 10:39,02:31,27,1,https://support.pearson.com/uk/s/,United Kingdom
Creating Edexcel Online Accounts,Default,5/7/25 10:37,00:24,2,0.08,-,Kenya
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 10:31,00:02,2,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 10:30,01:53,50,1,-,Lithuania
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 10:27,08:48,13,0.87,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 10:10,00:09,2,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 11:05,55:12,13,0.26,-,United Kingdom
Managing Requests LWT Moderation,KB,5/7/25 10:01,03:07,18,0.23,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 9:57,00:03,2,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 10:02,07:50,47,0.94,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 9:54,01:40,5,0.34,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 9:53,06:11,39,1,-,United Kingdom
Annual Quality Declaration and Edexcel Online Account Confirmation - UK Centres offering Vocational Qualifications,Default,5/7/25 9:44,00:19,1,0.04,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 9:40,01:42,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 9:45,07:49,50,1,-,United Kingdom
Managing Requests LWT Moderation,KB,5/7/25 9:40,06:25,80,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 9:19,00:03,2,0.14,-,United Kingdom
Functional Skills: How to withdraw registrations on Edexcel Online,KB,5/7/25 9:19,00:30,15,0.94,https://support.pearson.com/uk/s/,United Kingdom
Managing Requests LWT Examination,KB,5/7/25 9:14,01:34,22,0.31,-,United Kingdom
