Demo,Link,Last View,Total Time,Steps Completed,Percent Complete,Opened CTA,Country
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 13:25,0:02,4,0.08,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 13:25,0:10,6,0.12,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 13:25,0:33,11,0.22,-,United Arab Emirates
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 13:22,0:04,2,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 13:24,3:32,39,1,-,United Arab Emirates
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 13:25,4:46,37,0.95,-,United Kingdom
Returning a request and returning a specific submission within a request to the centre LWA Examination/Moderation,KB,5/7/25 13:21,2:53,17,0.71,-,United Kingdom
Uploading Administration Material LWA Examination/Moderation,KB,5/7/25 13:18,0:59,16,1,https://support.pearson.com/uk/s/article/Learner-Work-Assessment-LWA,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 13:15,3:15,15,1,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 13:03,6:11,2,0.06,-,United Kingdom
Functional Skills: How to access on-demand test results on Edexcel Online,KB,5/7/25 12:52,0:07,2,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 12:44,0:09,2,0.06,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 12:41,0:02,2,0.14,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 12:35,0:07,2,0.14,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 12:29,0:21,5,0.34,-,United Kingdom
Functional Skills: How to book a test on Edexcel Online,KB,5/7/25 12:09,0:14,4,0.19,-,United Kingdom
Managing Requests LWT Moderation,KB,5/7/25 12:15,17:46,80,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,China
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 11:57,1:03,17,0.44,-,Ireland
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 12:03,10:12,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Functional Skills: How to book a test on Edexcel Online,KB,5/7/25 11:57,15:03,19,0.87,-,United Kingdom
How to top up BTEC registrations on Edexcel Online,KB,5/7/25 11:34,0:19,9,0.57,-,United Kingdom
Managing Requests LWT Moderation,KB,5/7/25 11:39,5:44,76,0.95,-,United Kingdom
Transferring learner registrations on Edexcel Online,KB,5/7/25 11:33,1:04,16,1,https://support.pearson.com/uk/s/,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 11:29,12:45,39,1,-,United Kingdom
Downloading BTEC basedata on Edexcel Online,KB,5/7/25 11:40,26:12:00,12,1,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 11:06,0:17,5,0.34,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 11:00,0:04,2,0.14,-,United Kingdom
Managing Requests LWT Moderation,KB,5/7/25 11:00,1:23,10,0.13,-,Greece
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 10:46,0:04,2,0.14,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 10:45,0:02,2,0.14,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 10:39,1:19,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Functional Skills: How to make individual registrations on Edexcel Online,KB,5/7/25 10:39,2:31,27,1,https://support.pearson.com/uk/s/,United Kingdom
Creating Edexcel Online Accounts,Default,5/7/25 10:37,0:24,2,0.08,-,Kenya
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 10:31,0:02,2,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 10:30,1:53,50,1,-,Lithuania
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 10:27,8:48,13,0.87,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 10:10,0:09,2,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 11:05,55:12:00,13,0.26,-,United Kingdom
Managing Requests LWT Moderation,KB,5/7/25 10:01,3:07,18,0.23,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 9:57,0:03,2,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 10:02,7:50,47,0.94,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 9:54,1:40,5,0.34,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 9:53,6:11,39,1,-,United Kingdom
Annual Quality Declaration and Edexcel Online Account Confirmation - UK Centres offering Vocational Qualifications,Default,5/7/25 9:44,0:19,1,0.04,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 9:40,1:42,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 9:45,7:49,50,1,-,United Kingdom
Managing Requests LWT Moderation,KB,5/7/25 9:40,6:25,80,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 9:19,0:03,2,0.14,-,United Kingdom
Functional Skills: How to withdraw registrations on Edexcel Online,KB,5/7/25 9:19,0:30,15,0.94,https://support.pearson.com/uk/s/,United Kingdom
Managing Requests LWT Examination,KB,5/7/25 9:14,1:34,22,0.31,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 9:10,0:02,2,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 8:53,0:55,10,0.26,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 8:46,0:05,2,0.14,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 8:46,0:03,2,0.14,-,United Kingdom
Managing Requests LWT Moderation,KB,5/7/25 8:47,2:57,60,0.75,-,Hong Kong
How to book BTEC External Assessments on Edexcel Online,KB,5/7/25 8:44,0:20,9,0.57,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 9:59,1:28:02,39,1,-,Japan
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 8:15,0:09,2,0.14,-,United Kingdom
Making Individual GQ entries on Edexcel Online,Default,5/7/25 8:11,0:26,7,0.3,-,United Kingdom
Creating Edexcel Online Accounts,Default,5/7/25 8:11,0:01,2,0.08,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 7:57,0:14,7,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 7:46,0:38,19,0.49,-,Japan
Managing Requests LWT Moderation,KB,5/7/25 7:23,1:08,11,0.14,-,China
Managing Requests LWT Examination,KB,5/7/25 5:58,16:16,71,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,Pakistan
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 5:41,2:05,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,Pakistan
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 3:50,1:08,15,1,-,Hong Kong
Logging in & navigating LWA Examination/Moderation,KB,5/7/25 3:16,3:25,17,1,https://support.pearson.com/uk/s/article/Learner-Work-Assessment-LWA,Sri Lanka
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 22:47,0:10,3,0.08,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 22:59,58:13:00,39,1,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 21:39,1:07,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 21:00,22:08,50,1,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 20:37,9:49,39,1,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 20:21,0:03,2,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 20:02,1:37,17,0.44,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 19:58,3:39,50,1,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 19:54,2:25,39,1,-,United Kingdom
