Course,Enrollment Date (UTC TimeZone),Started Date (UTC TimeZone),Completion Date (UTC TimeZone),Status,Progress %,Time Spent(minutes),Quiz_score,Centre Number,Centre Country,Completion Comment
International Exams Officer Webinar - 12 December 2024,12/9/24 4:15,,,Not Started,0,0,,96100,United Arab Emirates,
Exams Officer UK Webinar - November 14 2024,10/16/24 12:45,,,Not Started,0,0,,16517,UK,
Exams Officer UK Webinar - September 26 2024,9/13/24 6:59,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,16517,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,2/13/25 8:19,,,Not Started,0,0,,16517,UK,
BTEC Bitesize Module 4: BTEC Amendments (2023/24) UK centres,1/19/24 9:09,9/10/24 12:55,,In Progress,0,16.35,0,64670,UK,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/29/25 22:59,,,Not Started,0,0,,92569,Bermuda,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Centre Declaration of Interest,3/13/25 5:01,3/13/25 5:01,3/13/25 5:01,Completed,100,0,,90095,India,
Recording of the Exams Officer International Webinar - October 24 2024,10/12/24 11:51,,,Not Started,0,0,,95172,Spain,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Recording of the Exams Officer International Webinar - October 24 2024,10/17/24 11:19,11/4/24 10:33,11/4/24 10:33,Completed,100,3.13,,94569,Ghana,
Welcome to Pearson - New to role Exams Officer (International),11/4/24 10:24,11/4/24 10:23,,In Progress,7.69,14.18,,94569,Ghana,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Recording of Exams Officer UK Webinar - November 2024,2/27/25 15:40,2/27/25 15:40,2/27/25 15:52,Completed,100,18.22,,33468,UK,
Recording of Exams Officer UK Webinar - October 2024,2/27/25 15:08,2/27/25 15:08,2/27/25 15:30,Completed,100,28.3,,33468,UK,
Recording of Exams Officer UK Webinar - September 2024,2/25/25 11:01,2/25/25 11:01,2/27/25 9:35,Completed,100,1450.38,,33468,UK,
Welcome to Pearson - New to role Exams Officer ,2/27/25 14:31,2/27/25 14:31,2/27/25 15:04,Completed,100,233.3,,33468,UK,
Exams Officer UK Webinar - March 13 2025,3/7/25 14:22,3/13/25 14:00,3/13/25 15:00,Completed,100,60,,46117B,UK,Thank you for attending our EO Webinar for March 2025
Recording of EO webinars July & August 2024 - BTEC Results specials,7/5/24 9:34,3/7/25 14:27,,In Progress,0,0.03,,46117B,UK,
Recording of Exams Officer UK Webinar - January 2025,3/13/25 10:48,3/13/25 10:48,3/13/25 15:45,Completed,100,64.77,,46117B,UK,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
EO International Webinar - 10th April 2025,3/31/25 10:06,,,Not Started,0,0,,92608,Italy,
Recording of Making entries for International GCSE's live event - 06 March 2024,2/21/24 16:44,10/17/24 16:31,10/17/24 16:31,Completed,100,15.97,,92608,Italy,
Exams Officer UK Webinar - September 26 2024,9/24/24 9:26,,,Not Started,0,0,,12060,UK,
ResultsPlus: Accessing individual student results,9/24/24 9:29,9/24/24 9:29,9/24/24 9:30,Completed,100,1.75,,12060,UK,
Exams Officer UK Webinar - 12 December 2024,11/22/24 15:07,,,Not Started,0,0,,47119,UK,
Exams Officer UK Webinar - 16 January 2025,1/10/25 13:24,,,Not Started,0,0,,47119,UK,
Exams Officer UK Webinar - October 17 2024,9/30/24 10:01,,,Not Started,0,0,,47119,UK,
Exams Officer UK Webinar - November 14 2024,10/25/24 11:25,,,Not Started,0,0,,30210,UK,
Recording of Exams Officer UK Webinar - January 2025,1/29/25 8:46,1/29/25 8:47,,In Progress,0,80.23,,30210,UK,
Recording of Exams Officer UK Webinar - October 2024,10/25/24 12:45,10/25/24 12:45,,In Progress,0,74,,30210,UK,
International Exams Officer Webinar - 12 December 2024,12/7/24 7:16,,,Not Started,0,0,,93540,Jordan,
Recording of the EO International Webinar - 13 February 2025,2/7/25 20:13,,,Not Started,0,0,,93540,Jordan,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,5/4/25 19:45,,,Not Started,0,0,,93540,Jordan,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/29/25 11:10,,,Not Started,0,0,,90000,United Arab Emirates,
Recording of the Exams Officer International Webinar - October 24 2024,10/11/24 11:49,,,Not Started,0,0,,95241,Spain,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/29/25 9:39,2/13/25 14:00,2/13/25 15:00,Completed,0,60.05,,43307,UK,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/29/25 11:07,,,Not Started,0,0,,90000,United Arab Emirates,
International Exams Officer Webinar - 12 December 2024,12/7/24 5:16,12/12/24 9:00,12/12/24 10:00,Completed,100,60,,95525,Kenya,
Recording of the EO International Webinar - 12 December 2024,4/3/25 8:21,4/3/25 8:21,4/3/25 8:32,Completed,100,22.3,,95525,Kenya,
Recording of the EO International Webinar - 13 February 2025,4/3/25 7:16,4/3/25 7:16,4/3/25 7:28,Completed,100,12.62,,95525,Kenya,
Welcome to Pearson - New to role Exams Officer (International),4/3/25 7:30,4/3/25 7:30,,In Progress,7.69,49.93,,95525,Kenya,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/29/25 11:52,,,Not Started,0,0,,96710,Qatar,
Exams Officer UK Webinar - 12 December 2024,11/22/24 14:38,,,Not Started,0,0,,40619,UK,
Exams Officer UK Webinar - 16 January 2025,1/16/25 13:44,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,40619,UK,attended live event
Exams Officer UK Webinar - April 3rd 2025,3/27/25 10:19,,,Not Started,0,0,,40619,UK,
Exams Officer UK Webinar - June 12th 2025,5/1/25 14:11,,,Not Started,0,0,,40619,UK,
Exams Officer UK Webinar - May 1st 2025,3/27/25 10:19,,,Not Started,0,0,,40619,UK,
Exams Officer UK Webinar - November 14 2024,10/23/24 15:08,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,40619,UK,
Exams Officer UK Webinar - October 17 2024,10/10/24 7:23,,,Not Started,0,0,,40619,UK,
International Exams Officer Webinar - 12 December 2024,12/10/24 5:22,,,Not Started,0,0,,94334,Uganda,
Recording of the EO International Webinar - 13 February 2025,2/10/25 12:33,,,Not Started,0,0,,94334,Uganda,
Exams Officer UK Webinar - April 3rd 2025,4/2/25 13:20,,,Not Started,0,0,,96394,Thailand,
Recording of the EO International Webinar - 12 December 2024,1/10/25 1:18,1/10/25 1:18,,In Progress,0,25,,96394,Thailand,
Recording of the EO International Webinar - 13 February 2025,2/12/25 5:28,,,Not Started,0,0,,96023,Indonesia,
Recording of the EO International Webinar - 13 February 2025,2/13/25 4:46,2/13/25 9:00,2/13/25 10:00,Completed,100,60.52,,92432,Qatar,
Centre Declaration of Interest,3/12/25 14:06,3/12/25 14:06,3/12/25 14:06,Completed,100,6.68,,93369,Thailand,
Exams Officer UK Webinar - 16 January 2025,1/9/25 13:58,,,Not Started,0,0,,58437,UK,
Exams Officer UK Webinar - April 3rd 2025,4/3/25 8:09,4/3/25 13:46,4/3/25 13:49,Completed,100,0,6,58437,UK,
Exams Officer UK Webinar - October 17 2024,10/11/24 9:12,,,Not Started,0,0,,58437,UK,
Exams Officer UK Webinar - September 26 2024,9/13/24 13:18,,,Not Started,0,0,,58437,UK,
Recording of the EO International Webinar - 13 February 2025,2/13/25 7:47,,,Not Started,0,0,,92567,United Arab Emirates,
BTEC Bitesize Module 3: Entries & External Assessments (2023/24),2/20/24 11:50,10/4/24 9:36,,In Progress,0,3.27,0,44343,UK,
Centre Declaration of Interest,10/30/24 11:49,10/30/24 11:49,10/30/24 11:49,Completed,100,13.92,,44343,UK,
Cohort Declaration walkthrough,1/15/25 14:07,1/15/25 14:07,,In Progress,50,8.1,,44343,UK,
Exams Officer UK Webinar - 16 January 2025,1/15/25 14:05,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,44343,UK,attended live event
Exams Officer UK Webinar - November 14 2024,11/14/24 13:47,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,44343,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/21/25 13:23,,,Not Started,0,0,,44343,UK,
VQ Learner Tracker and Claims Webinar,7/1/24 14:30,7/1/24 14:30,7/1/24 14:30,Completed,100,1.07,,44343,UK,
Welcome to Pearson - New to role Exams Officer ,9/27/23 8:00,5/6/25 2:39,5/6/25 3:52,Completed,100,697.58,,92138,South Korea,
Recording of the Exams Officer International Webinar - October 24 2024,3/21/25 23:42,3/21/25 23:42,3/21/25 23:42,Completed,100,0.42,,92302,Ghana,
Welcome to Pearson - New to role Exams Officer (International),5/5/25 9:55,,,Not Started,0,0,,92302,Ghana,
PEIC Bitesize - Entries and Amendments 2023/24,9/11/24 11:51,9/11/24 11:52,9/11/24 12:01,Completed,100,9,30,94232,Kuwait,
Recording of International Exams Officer Webinar - March 28th 2024,3/25/24 6:11,9/11/24 12:02,9/11/24 12:02,Completed,100,5,,94232,Kuwait,
Recording of the EO International Webinar - 12 December 2024,1/5/25 6:29,1/5/25 6:29,1/5/25 7:26,Completed,100,77.9,,94232,Kuwait,
Recording of Exams Officer UK Webinar - January 2025,1/29/25 13:49,1/29/25 13:50,,In Progress,0,16,,71546,UK,
Recording of the Exams Officer International Webinar - October 24 2024,10/16/24 8:39,,,Not Started,0,0,,96541,Malta,
BTEC cohort declaration and VQ Learner Tracker Recording December 24,1/30/25 10:36,1/30/25 10:36,1/30/25 10:36,Completed,100,226.53,,41209,UK,
Exams Officer UK Webinar - April 3rd 2025,4/3/25 7:38,4/3/25 13:52,4/3/25 13:57,Completed,100,11.9,9,41209,UK,
Exams Officer UK Webinar - March 13 2025,3/3/25 9:17,3/13/25 14:00,3/13/25 15:00,Completed,100,60,,41209,UK,Thank you for attending our EO Webinar for March 2025
Exams Officer UK Webinar - October 17 2024,10/10/24 10:48,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,41209,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,2/6/25 15:11,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,79866,UK,
